c1,c2,c3,mu_c,alpha,beta,sigma_c,sigma,s_m_n1,s_m_n2,s_m_n3
0.342353,2.82402,0.490406,3.49669,0.294729,0.983492,2.12724,0.600339,1.15909,0.90838,2.97953
0.400785,2.96954,0.507652,2.71257,0.296817,0.986853,2.33169,0.631062,0.936269,0.204547,10.8554
0.322145,2.36626,0.515504,3.20236,0.293978,0.975417,1.74759,0.62884,0.887923,0.459988,3.95338
0.403212,3.55733,0.696563,2.6728,0.284972,0.992931,2.40719,0.628867,0.901639,0.502549,12.6335
0.171473,3.13117,1.13844,2.47538,0.303459,0.982398,3.11068,0.608911,1.05472,0.586596,17.4065
0.327214,3.41836,0.81147,2.78775,0.294389,0.994897,2.46129,0.612638,0.869989,0.469448,7.23799
0.164473,2.86746,0.877177,2.26381,0.294062,0.990095,2.69858,0.627451,1.08168,0.734547,8.92373
0.334781,2.79425,1.05062,3.21708,0.306321,0.988859,1.80389,0.61389,0.988127,0.570943,22.7357
0.320716,2.86568,0.89495,3.29016,0.303261,0.992604,1.81118,0.614597,0.962753,0.509535,17.3695
0.444026,3.47799,0.794166,3.45435,0.298311,0.992351,2.1581,0.617793,1.02943,0.780759,14.1114
0.159808,2.30369,1.22593,2.2147,0.295073,0.996579,2.51507,0.608783,0.989067,0.487209,14.9487
0.153641,2.18187,1.15123,2.08436,0.294903,0.996719,2.60499,0.609408,0.991696,0.39941,14.0163
0.341412,2.78001,0.8646,1.88671,0.29877,0.995204,2.03146,0.611739,0.834112,0.633467,11.1957
0.493559,2.445,0.325364,1.86932,0.290245,0.978243,3.48467,0.616035,0.696116,0.0578521,13.755
0.614342,3.20895,0.837752,2.20118,0.302074,0.992573,2.40539,0.625413,1.1867,0.808199,15.8846
0.237188,2.46142,1.38935,2.89954,0.29126,0.98069,2.56933,0.630378,0.945158,0.534757,8.65649
0.179387,2.66288,1.54049,3.34158,0.296323,0.960774,2.37036,0.629756,0.921267,0.616249,8.46262
0.343549,2.49117,1.14381,2.62481,0.306163,0.997721,2.98955,0.623082,0.920289,0.256478,26.0281
0.53666,3.72548,0.714447,2.78323,0.312763,0.998874,1.69092,0.627699,0.713327,0.475511,10.4086
0.568371,4.1439,0.654743,2.80742,0.311301,0.998394,1.70579,0.623428,0.854809,0.582042,3.14528
0.575008,3.44925,0.616475,3.33107,0.284637,0.978828,1.96558,0.639595,1.6483,1.4304,3.74589
0.645988,3.34675,0.381615,3.25568,0.288008,0.984972,1.88042,0.630038,1.03766,0.879152,6.68463
0.816585,5.08741,0.241831,1.90717,0.300842,0.99304,2.36307,0.623232,1.09532,0.792359,3.47238
0.594928,3.88956,0.480463,1.43606,0.295867,0.984091,3.03171,0.618088,1.19868,0.966319,6.88886
0.571564,2.72823,0.635561,1.75667,0.300454,0.996923,3.90082,0.613066,0.679715,0.131712,13.4764
0.711282,2.72688,0.219355,1.16889,0.293372,0.996866,3.35081,0.593399,0.88474,0.603173,20.0158
0.492047,2.22447,0.786837,0.948802,0.29307,0.996423,3.10863,0.608039,1.0099,0.630985,8.60122
0.526904,2.60218,1.09119,1.07251,0.282974,0.994942,3.28932,0.602735,0.731331,0.307563,22.544
0.547214,2.68146,1.04369,1.04151,0.286693,0.994774,3.23384,0.603959,0.83218,0.308484,18.3666
0.623866,3.0494,0.602333,0.795296,0.289834,0.991192,2.57214,0.612472,0.759438,0.51863,14.8118
0.65995,3.01162,0.695246,0.911257,0.290979,0.993043,2.53607,0.614243,0.712613,0.392524,10.7962
0.752111,3.14967,0.277113,1.29415,0.284459,0.987871,2.4628,0.60823,0.8761,0.518539,13.3632
0.734422,2.98468,0.133996,1.20033,0.286115,0.986722,2.43039,0.609035,0.890429,0.484037,13.0317
0.808877,2.7824,0.214583,1.35965,0.280623,0.98722,2.8528,0.61518,0.742235,0.363206,11.506
0.834165,3.01637,0.419558,1.48467,0.279862,0.98956,2.60213,0.611626,0.70666,0.349203,17.6124
0.726081,2.87987,0.56558,2.0707,0.285796,0.986837,2.06989,0.618829,0.838849,0.345857,12.0366
0.581002,2.84552,0.573824,2.60238,0.283331,0.972254,2.95441,0.616098,0.941562,0.545796,15.6528
0.662764,3.64201,0.858364,4.67011,0.282496,0.9891,2.88032,0.609292,0.862916,0.468539,12.9573
0.511162,3.09965,1.4285,2.54162,0.284008,0.987255,1.80419,0.623564,0.90417,0.407618,14.3561
0.435909,2.39468,1.06533,3.05601,0.286898,0.982012,2.01611,0.615313,1.12267,0.803125,11.4133
0.596807,2.37496,0.616506,2.73925,0.283295,0.981386,1.99096,0.614768,0.963642,0.492148,13.2291
0.572443,2.60649,0.721554,2.70501,0.290777,0.992781,1.82482,0.617695,0.804708,0.209773,9.02766
0.641605,2.97616,0.596766,3.59049,0.282494,0.981834,1.81211,0.608505,0.59243,0.366493,7.36157
0.900658,3.98166,-0.272072,2.60515,0.302671,0.99091,2.18305,0.617989,0.712783,0.22828,22.2409
0.650313,2.80944,0.68345,3.38637,0.288736,0.987537,1.66367,0.617507,0.808818,0.556413,13.5715
0.617692,3.32653,0.517807,2.6969,0.304613,0.991207,1.58439,0.61252,1.25001,0.731873,25.3422
0.728409,4.07907,0.958411,3.23958,0.299466,0.988816,3.15147,0.610572,1.5117,0.537131,7.00426
0.917496,3.64898,0.634838,3.59756,0.306902,0.993263,2.80678,0.62892,0.979612,0.470014,18.0085
0.808206,2.84442,0.914902,2.52313,0.303831,0.98798,2.40097,0.624704,0.931397,0.280138,10.1222
0.57391,5.22918,0.297274,2.48373,0.286447,0.99462,2.14973,0.599787,1.76876,1.68218,7.09014
0.516543,3.75815,0.835563,2.78189,0.292354,0.967088,2.41308,0.62374,0.949777,0.328967,25.8765
0.625488,3.69415,0.399357,2.83042,0.285473,0.971855,2.11049,0.614658,0.900042,0.567762,19.0616
0.412802,2.96739,0.625201,3.63919,0.300673,0.990692,1.78608,0.619453,1.12475,0.611012,17.4692
0.476053,2.80013,0.617931,3.05308,0.293498,0.992655,1.80169,0.619648,1.03771,0.63178,4.19937
0.71419,3.31408,0.700796,3.14228,0.297923,0.995292,2.00294,0.624761,0.729935,0.333458,13.2884
0.734777,3.2886,0.441932,3.33653,0.298007,0.997098,1.68158,0.608161,0.771549,0.277331,25.6418
0.635616,2.64752,0.284176,2.84294,0.2956,0.975179,2.66471,0.614815,0.661817,0.357938,4.02555
0.54326,2.4349,0.698511,2.88861,0.30315,0.994604,2.7748,0.604488,1.09503,0.844088,8.11417
0.840927,4.10428,0.749252,3.84243,0.30725,0.993215,1.917,0.624828,0.749224,0.390451,17.1575
0.913091,4.52335,0.377931,2.92503,0.302224,0.992689,2.25617,0.606324,1.24494,0.271654,11.269
0.958561,4.85371,-0.16089,2.82169,0.283659,0.990186,2.35038,0.624709,1.16286,0.471216,10.8243
1.10708,4.97307,0.0571228,2.62695,0.27812,0.980456,1.9034,0.610591,1.0656,0.367294,4.25653
1.07953,4.47452,0.299217,2.92975,0.28861,0.997788,2.26793,0.622127,1.73518,1.18069,13.8557
0.976578,3.04773,0.959997,2.34361,0.295766,0.994982,1.8858,0.615669,1.31155,0.3895,14.1302
