c1,c2,c3,mu_c,alpha,beta,sigma_c,s_m_r,s_r1,s_r2
0.4979,1.19178,0.872719,1.86106,0.411669,0.63409,2.18274,0.518877,0.536534,1.57281
0.451051,1.42402,0.722521,2.07841,0.577168,0.941958,1.76128,0.477222,0.533492,1.37743
0.194735,1.10137,1.07216,2.72165,0.554659,0.937983,2.20868,0.654069,0.557355,1.27153
0.0934393,1.15553,1.09755,2.187,0.544595,0.893533,2.42294,0.669154,0.569799,1.1155
0.191883,1.15251,1.17958,3.01801,0.534206,0.91789,1.94563,0.687748,0.513023,1.38419
0.267997,1.0518,0.506336,1.81362,0.411627,0.721995,1.75007,0.503024,0.549346,1.2458
0.219638,1.07773,0.575887,2.63243,0.438198,0.773237,1.41213,0.529,0.548936,1.22583
0.360819,1.42776,0.933494,2.65601,0.610316,0.956374,1.7141,0.552336,0.526429,1.5949
0.456837,1.53904,0.745015,2.45595,0.584758,0.846465,1.53014,0.628921,0.516595,1.64699
0.470924,1.16702,0.439631,2.39609,0.586102,0.972829,1.77455,0.51684,0.529234,1.4523
0.311037,1.05032,0.596984,2.21936,0.540298,0.964218,1.65902,0.497836,0.527762,1.30554
0.468706,1.36437,1.23357,2.88362,0.51428,0.772238,1.70196,0.597624,0.520506,1.48368
0.474564,1.33171,0.856599,1.92349,0.585579,0.972395,1.86119,0.511176,0.544434,1.27681
0.308147,1.19296,0.86898,1.74373,0.468725,0.830614,1.35128,0.420412,0.535199,1.34674
0.346888,1.31377,0.700303,2.46429,0.545462,0.907836,1.91745,0.665802,0.551326,1.41392
0.332037,1.27337,0.954828,2.23523,0.550742,0.884849,1.48843,0.436727,0.553284,1.17479
0.381789,1.26802,0.866175,2.13174,0.584762,0.995056,1.65256,0.713918,0.516205,1.37985
0.336196,1.24709,1.1597,1.95031,0.523257,0.815274,1.72386,0.424777,0.574016,1.24445
0.230958,1.05059,1.04425,1.62212,0.505808,0.945563,1.49889,0.468318,0.546813,1.13904
0.137645,0.389534,1.00421,2.21525,0.629116,0.919376,2.16584,0.815374,0.510626,1.63934
0.229456,0.24802,0.487207,2.66488,0.547333,0.927508,1.44743,0.909936,0.551934,1.20846
0.53373,0.773453,0.448707,1.81053,0.452519,0.83337,2.11871,0.784783,0.542931,1.10159
0.404784,1.12523,0.845492,2.43614,0.599177,0.946485,1.89359,0.499001,0.540634,1.62546
0.665771,1.45216,0.45061,2.0404,0.49812,0.836314,1.96614,0.731913,0.563292,1.15918
0.500159,1.34254,0.848505,2.27657,0.481001,0.914092,1.4924,0.393154,0.547399,1.255
0.435684,1.31117,0.844396,1.85789,0.534951,0.93068,1.73382,0.38519,0.564653,1.32721
0.260195,1.07969,1.13169,1.82763,0.474336,0.796794,1.2901,0.583305,0.543103,1.40506
0.733799,1.5496,0.810589,2.65791,0.464123,0.925952,1.49928,0.478942,0.56051,0.893919
0.634167,1.48101,0.994564,1.92252,0.439641,0.841917,1.7437,0.675765,0.561288,1.22648
0.51183,1.45381,1.10055,2.68785,0.628847,0.91641,1.83,0.491206,0.540489,1.57932
0.850421,1.68806,0.786467,2.59526,0.548137,0.94779,2.39593,0.622536,0.541786,1.18562
0.577337,1.57756,0.480644,1.92041,0.586679,0.899416,1.829,0.52408,0.516764,1.66614
0.266336,1.12248,1.25053,2.73455,0.560265,0.90961,2.01997,0.547423,0.562984,1.35116
0.412404,1.09766,0.453419,1.91937,0.491075,0.81873,1.57601,0.515608,0.542607,1.45902
0.351106,1.13915,0.987265,2.45089,0.6311,0.932807,2.44492,0.556562,0.520371,1.65716
0.617888,1.09469,0.600635,2.27086,0.456128,0.819546,1.67976,0.480976,0.562224,0.991852
0.456386,1.42499,0.829089,1.83348,0.57613,0.886721,2.33154,0.616388,0.527447,1.47316
0.484489,1.52831,0.753132,1.94096,0.579062,0.898273,1.48694,0.658178,0.514429,1.51258
0.0782938,1.19205,1.23879,1.9407,0.45715,0.808141,1.63313,0.506829,0.545585,1.23262
-0.0815089,0.893773,1.13084,2.20463,0.455475,0.753403,1.65202,0.565623,0.542616,1.37025
-0.0905432,0.871174,1.16445,2.43841,0.428241,0.700089,1.52281,0.543671,0.529721,1.44392
-0.0207318,1.01202,1.17155,1.80092,0.52731,0.883153,1.459,0.558155,0.551747,1.25682
-0.0162864,0.977008,1.36139,1.70882,0.612466,0.941483,1.75518,0.468411,0.568357,1.27539
0.138461,1.08794,1.09926,2.19642,0.544117,0.924331,1.48765,0.448771,0.547417,1.25012
-0.0349174,0.835345,1.28464,1.52171,0.502538,0.854866,1.45362,0.515311,0.539154,1.48179
0.050962,1.01025,1.32956,2.19801,0.430089,0.711634,1.24628,0.665177,0.565662,1.31624
0.056902,0.928676,1.45836,2.01692,0.596378,0.988839,1.59791,0.511907,0.51622,1.55845
0.263922,1.12478,0.741871,2.79014,0.534963,0.789913,1.63235,0.546538,0.509066,1.66653
0.219526,1.02188,1.41498,1.40466,0.538033,0.920494,1.64049,0.483318,0.5391,1.13697
0.150163,1.0112,1.32562,1.62841,0.507222,0.913253,1.71857,0.606879,0.551035,1.32644
0.463691,1.21729,0.524384,2.2871,0.680306,0.950409,1.9321,0.433369,0.510235,1.90698
0.614526,1.50831,0.670418,1.85769,0.531059,0.923554,1.98115,0.488856,0.533351,1.23396
0.401469,1.33159,0.96902,2.12626,0.408876,0.838284,1.07906,0.611847,0.533211,0.954332
0.420983,1.36054,0.903632,1.92585,0.462228,0.842357,1.21358,0.669173,0.560053,0.944357
0.59275,1.36176,0.608709,1.57076,0.520786,0.827567,1.83182,0.435792,0.535595,1.3785
0.465788,1.42905,0.608758,2.53184,0.564317,0.836379,2.15805,0.579391,0.526663,1.5291
0.309965,1.16453,0.880636,1.60568,0.453332,0.939169,1.14099,0.433497,0.580135,0.959538
0.577835,1.33092,0.161133,1.71504,0.394932,0.691144,1.58181,0.668633,0.560446,1.48749
0.354919,1.14682,0.856893,2.11512,0.635719,0.946993,1.57036,0.371762,0.568427,1.54311
0.568225,1.38512,0.473409,3.12311,0.537025,0.829592,2.03969,0.689912,0.574234,1.27149
0.264799,1.12028,0.869999,1.77375,0.480696,0.908872,1.32578,0.35599,0.537673,1.17986
0.204827,1.17571,1.18485,2.31917,0.444323,0.920238,1.62806,0.541503,0.565077,0.951026
0.582769,1.54085,0.997328,1.84418,0.431396,0.776097,1.14455,0.56416,0.536597,1.33784
0.717859,1.49779,0.540374,1.37852,0.504603,0.862648,1.81783,0.46283,0.521034,1.47177
0.798487,1.53232,0.330582,2.6845,0.549207,0.926571,1.49807,0.579876,0.557692,1.23339
0.727331,1.44491,0.384146,2.37288,0.560702,0.926563,1.40289,0.620835,0.554915,1.20443
0.329045,1.36132,0.981496,2.48587,0.414213,0.703867,1.72347,0.463244,0.533827,1.37387
0.248184,1.08309,0.726135,1.60012,0.449262,0.919213,0.994769,0.629688,0.578304,0.95351
0.770027,1.62731,0.231176,2.65384,0.441715,0.943783,1.36947,0.469481,0.571812,0.991186
0.577629,1.28142,0.420622,1.70842,0.607945,0.972244,1.50914,0.595001,0.559889,1.14836
0.309515,1.01493,0.917509,1.90448,0.427526,0.963844,1.38419,0.461524,0.537414,0.945263
0.176034,0.698026,0.851149,1.82782,0.561182,0.881184,1.36211,0.67431,0.53084,1.483
-0.0254022,0.694319,1.12699,2.69076,0.532589,0.873014,1.71187,0.597876,0.541122,1.4747
0.101979,0.912334,1.01726,1.85071,0.578441,0.919964,2.09034,0.535068,0.530418,1.46308
-0.0329062,0.737158,1.34105,3.10533,0.569749,0.914999,2.20116,0.659054,0.556219,1.38169
-0.0362751,0.828588,1.00001,1.77746,0.567981,0.954508,1.53375,0.496874,0.512761,1.38994
0.220279,1.16695,0.730722,2.71307,0.510128,0.929159,1.78061,0.702946,0.530685,1.16582
0.0186943,0.852056,0.751206,2.08861,0.511279,0.853472,2.21126,0.46636,0.562369,1.29452
0.313441,1.15908,0.565796,2.34714,0.53743,0.908173,1.5296,0.698356,0.56821,1.2587
0.365283,1.05466,0.407467,2.31873,0.584254,0.955115,1.87262,0.577131,0.539779,1.40698
0.457873,1.17603,0.157935,2.17975,0.585734,0.979821,1.96001,0.649331,0.535803,1.27589
0.116862,1.20402,0.78269,1.74192,0.469352,0.775968,1.50473,0.550328,0.552998,1.33343
0.107131,1.22067,0.708817,1.7536,0.477145,0.731742,1.49731,0.539789,0.546347,1.30843
0.091962,1.50229,1.556,2.37077,0.633898,0.941077,1.74934,0.754378,0.544596,1.35093
0.199994,1.54151,1.38368,2.55271,0.511572,0.874445,1.64449,0.69768,0.547992,1.1884
0.0611172,1.37154,1.43326,1.85089,0.330708,0.598565,1.58198,0.801232,0.543687,1.20537
0.255772,1.46847,1.42986,2.14744,0.272084,0.493254,1.75267,0.7182,0.58607,1.13261
0.302732,1.56352,1.00982,1.8013,0.534993,0.87949,1.59733,0.720514,0.533276,1.47611
0.0373327,0.883123,1.1034,2.04658,0.482336,0.844478,2.15908,0.683715,0.549254,1.18508
0.129862,1.02073,0.830581,2.1904,0.483706,0.902997,1.30959,0.460223,0.557093,0.950253
0.326802,1.19711,0.897732,2.18639,0.52791,0.884239,1.55544,0.596759,0.548155,1.40609
