c1,c2,c3,alpha,beta,c,s_m_s1,s_m_s2,s_m_s3,s_s1,s_s2
0.75486,3.537,1.43811,0.726924,0.867419,5.84881,0.168794,-0.497766,7.61687,0.492185,2.09336
0.730014,3.555,1.44563,0.772304,0.919394,5.92705,0.232983,-0.30816,7.84081,0.490649,1.75434
0.811692,3.77676,0.996488,0.827979,0.96131,6.26933,0.583826,-1.23077,6.33167,0.475071,2.23138
0.710868,3.46937,1.0043,0.756284,0.899324,5.93696,0.566278,-1.52616,6.8339,0.440849,2.42287
0.657834,3.5809,1.07688,0.777196,0.909069,5.96485,0.493623,-0.494754,7.03962,0.445645,2.4154
0.654015,3.49436,1.35526,0.82823,0.970645,6.24731,0.360545,-1.33417,6.84042,0.478991,2.01389
0.728563,3.44326,1.13647,0.823248,0.970296,6.31096,0.453634,-0.573741,7.88079,0.484573,2.15207
0.891183,3.52562,0.85346,0.809079,0.95061,6.35241,0.544705,-0.811583,6.7763,0.462553,2.33417
0.927629,3.72986,0.703905,0.789655,0.954516,6.1268,0.626133,-0.770852,6.68009,0.461296,2.21076
0.913515,3.6456,0.8675,0.799575,0.932669,6.18297,0.510586,-1.70833,6.89104,0.466051,2.07311
0.710483,3.59835,1.08822,0.752052,0.895516,5.99596,0.525764,-0.631026,6.95666,0.454322,2.34617
0.831805,3.37758,1.51174,0.748317,0.892238,5.807,0.296171,-0.91138,7.2571,0.479408,2.09199
0.764804,3.17912,1.28927,0.820987,0.970051,6.37387,0.599695,-0.613821,6.71865,0.462064,2.33998
0.806773,3.68855,1.16026,0.810477,0.936801,6.16717,0.718602,-1.18597,6.45241,0.475352,2.03848
0.741004,3.63326,1.35955,0.814437,0.947423,6.2259,0.452228,-0.329692,7.34627,0.477402,2.21067
0.737956,3.46421,1.23885,0.788206,0.927356,6.07799,0.34146,-1.31355,7.02051,0.477989,1.91952
0.768885,3.45659,1.24237,0.735518,0.880379,6.03302,0.431696,-0.427939,7.12386,0.475429,2.0977
0.763365,3.15995,1.27347,0.765262,0.899048,5.95262,0.387988,-0.319112,7.95387,0.478503,2.36615
0.673015,2.91075,1.16773,0.837216,0.967037,6.43322,0.446027,-1.0821,6.94992,0.464432,2.19621
0.567805,3.06385,1.58539,0.810245,0.937983,6.19673,0.251166,-0.411279,7.60049,0.50071,2.00913
0.735458,3.14732,1.08465,0.810952,0.97213,6.27946,0.548104,-0.804985,6.77099,0.484222,2.07088
0.662976,3.17095,1.38117,0.770502,0.897527,6.13632,0.242655,-0.713656,7.67531,0.467704,2.40022
0.65939,3.23909,1.46694,0.797683,0.921758,6.07302,0.384098,-0.367121,7.39736,0.465865,2.22765
0.674877,3.01532,1.28164,0.763704,0.904422,5.87812,0.390971,-0.90239,7.06851,0.49156,1.85539
0.626422,2.80933,1.45786,0.804883,0.957843,6.31058,0.514939,-0.546163,7.25616,0.478426,2.05146
0.731411,3.3642,1.14178,0.846099,0.976541,6.28238,0.394042,-0.849855,7.0854,0.461172,2.30783
0.816491,3.47367,1.01096,0.770622,0.924592,6.21613,0.566804,-0.970747,6.43494,0.46807,2.27045
1.01986,4.23808,0.834458,0.844243,0.972407,6.39786,0.189487,-0.648219,7.72544,0.48499,2.16835
0.940534,4.04677,0.985173,0.70242,0.821357,5.67139,0.408611,-0.966157,7.05645,0.483061,2.19614
0.932001,3.95113,1.09146,0.700944,0.806174,5.5431,0.356322,-0.977753,7.14397,0.455761,2.33312
0.942712,3.86144,0.946476,0.714055,0.855346,5.67223,0.306658,-0.58461,7.43201,0.477761,2.26557
0.615086,3.42072,1.2867,0.729304,0.872667,5.68901,0.540714,-0.718199,6.68014,0.4714,2.23531
0.543153,3.07436,1.26269,0.774211,0.925564,6.12244,0.672713,-0.937033,6.56606,0.466752,2.20384
0.549553,3.28891,1.20345,0.754528,0.905492,5.83992,0.706525,-0.687302,6.75393,0.485686,1.97507
0.504346,2.98757,1.23891,0.796955,0.930508,6.40878,0.232299,-0.473297,8.08819,0.468056,2.4143
0.539716,3.1533,1.30279,0.811384,0.963202,6.18465,0.691023,-0.617513,6.9047,0.465914,2.18635
0.620043,3.50276,1.1978,0.747897,0.901199,5.72283,0.345653,-0.773433,7.29298,0.459703,2.39943
0.695131,3.49372,1.13017,0.751107,0.875231,5.95601,0.481896,-0.719614,7.05675,0.471002,2.16956
0.669556,3.25828,1.10912,0.756635,0.888392,5.95447,0.429149,-0.627766,7.18538,0.467918,2.33118
0.865162,2.92512,0.808353,0.809048,0.954475,6.31149,0.377881,-1.1476,7.14304,0.460333,2.11922
0.846881,2.99846,1.06386,0.827237,0.984211,6.31974,0.379716,-0.777654,7.13277,0.461503,2.42628
0.80212,2.87215,1.03868,0.732049,0.881613,6.07614,0.30073,-0.866346,7.21109,0.471582,2.23999
0.871527,3.3348,0.810826,0.832269,0.974243,6.20013,0.436351,-0.622231,7.21118,0.462543,2.31404
1.07575,4.59726,1.22153,0.740959,0.893969,5.83559,0.463091,-0.994632,6.9284,0.481343,2.05482
1.18683,4.49316,0.869469,0.843107,0.97213,6.3948,0.474273,-0.685839,7.0673,0.467511,2.2508
1.06912,4.13416,0.970069,0.826066,0.962025,6.30275,0.385773,-0.880314,7.21879,0.471172,2.14142
0.921879,3.59392,1.11341,0.800495,0.943062,6.20094,0.347292,-0.6502,7.30601,0.486242,1.97029
0.895012,3.62268,1.22174,0.791975,0.95998,5.99167,0.479317,-0.389626,7.41428,0.489382,2.02029
0.891144,3.63954,1.25327,0.801134,0.935203,6.03081,0.663758,-0.257324,7.13518,0.485796,1.90249
0.864739,3.48727,1.38785,0.826584,0.963888,6.2752,0.37343,-0.920464,7.23225,0.491464,2.03421
0.871815,3.19458,1.36869,0.753316,0.8891,5.79252,0.599024,-0.400457,7.29298,0.462033,2.53091
0.942674,3.75157,1.16731,0.725372,0.871853,5.69802,0.307208,-0.992778,7.19329,0.512993,1.84339
0.917935,3.72139,1.14103,0.755514,0.915467,5.90807,0.445449,-0.730226,7.02319,0.483885,2.01663
0.921971,3.82444,1.00141,0.756992,0.909218,5.85295,0.394387,-0.703913,7.52858,0.489992,1.9739
1.0884,4.04908,0.725483,0.756505,0.89569,5.93811,0.589846,-0.906188,6.95337,0.48106,1.85283
0.934804,3.80837,0.81517,0.820461,0.965043,6.19829,0.218856,-0.459877,7.76863,0.47756,2.27134
1.07779,4.31827,0.649086,0.796859,0.933874,6.3505,0.276285,-1.02546,7.19105,0.476,2.40849
1.08935,4.29518,0.897128,0.819409,0.98264,6.12354,0.584565,-1.00723,6.60743,0.478309,2.0995
1.19566,4.39827,0.716249,0.814137,0.967391,6.36834,0.532087,-1.23446,6.57684,0.486761,2.04827
1.15883,4.07954,0.662072,0.743803,0.900068,5.89144,0.461084,-0.580427,7.17181,0.482984,1.86046
1.10019,3.88612,0.61565,0.759912,0.937325,5.96019,0.521702,-1.36269,6.88455,0.485674,2.0692
1.13082,3.9337,0.422483,0.717043,0.837644,5.80709,0.548218,-0.535336,6.93418,0.459991,2.30177
0.957417,3.17696,1.04087,0.845611,0.981696,6.39854,0.264515,-0.919104,7.22423,0.497399,1.88777
0.993833,3.20045,0.963298,0.823799,0.994014,6.19742,0.276194,-0.532769,7.62063,0.485543,1.86393
1.1015,3.29163,0.932857,0.795219,0.940057,6.27218,0.41499,-1.16326,7.0309,0.492642,2.14861
1.10522,3.46366,0.994756,0.797365,0.960419,6.05503,0.390111,-0.880454,7.11293,0.464398,2.25778
1.14978,3.30874,0.709378,0.788977,0.952774,6.26753,0.511726,-0.710876,7.01939,0.47687,2.1586
1.17742,3.2854,0.797328,0.800109,0.943824,6.47538,0.863209,-0.714643,6.94946,0.472421,2.11878
1.16637,3.69539,0.599137,0.818678,0.980244,5.96027,0.332222,-0.942653,7.5996,0.48314,1.76539
1.22911,3.80253,0.685366,0.804951,0.956104,6.48148,0.386146,-0.421948,7.57284,0.486709,2.11322
1.02061,3.37077,1.23083,0.776697,0.935284,5.75906,0.791661,-0.520881,6.88085,0.492217,1.79851
0.820144,3.17292,1.48151,0.765531,0.908892,5.97999,0.410191,-0.445207,7.87658,0.46685,1.97302
0.950211,3.72614,0.963673,0.819572,0.990882,6.37719,0.644192,-2.02742,6.38262,0.473964,2.18262
0.940122,3.77701,0.947187,0.846417,0.978886,6.31211,0.505912,-1.77795,6.26668,0.461798,2.28292
0.998262,3.78756,0.856335,0.771216,0.910923,6.05756,0.393326,-0.509623,7.24062,0.492423,1.96597
