"U_0pt00","U_0pt01","U_0pt02","U_0pt03","U_0pt04","U_0pt05","U_0pt06","U_0pt07","U_0pt08","U_0pt09","U_0pt10","U_0pt11","U_0pt12","U_0pt13","U_0pt14","U_0pt15","U_0pt16","U_0pt17","U_0pt18","U_0pt19","U_0pt20","U_0pt21","U_0pt22","U_0pt23","U_0pt24","U_0pt25","U_0pt26","U_0pt27","U_0pt28","U_0pt29","U_0pt30","U_0pt31","U_0pt32","U_0pt33","U_0pt34","U_0pt35","U_0pt36","U_0pt37","U_0pt38","U_0pt39","U_0pt40","U_0pt41","U_0pt42","U_0pt43","U_0pt44","U_0pt45","U_0pt46","U_0pt47","U_0pt48","U_0pt49","U_0pt50","U_0pt51","U_0pt52","U_0pt53","U_0pt54","U_0pt55","U_0pt56","U_0pt57","U_0pt58","U_0pt59","U_0pt60","U_0pt61","U_0pt62","U_0pt63","U_0pt64","U_0pt65","U_0pt66","U_0pt67","U_0pt68","U_0pt69","U_0pt70","U_0pt71","U_0pt72","U_0pt73","U_0pt74","U_0pt75","U_0pt76","U_0pt77","U_0pt78","U_0pt79","U_0pt80","U_0pt81","U_0pt82","U_0pt83","U_0pt84","U_0pt85","U_0pt86","U_0pt87","U_0pt88","U_0pt89","U_0pt90","U_0pt91","U_0pt92","U_0pt93","U_0pt94","U_0pt95","U_0pt96","U_0pt97","U_0pt98","U_0pt99","U_1pt00"
-0.0725672172366987,-0.0356913726390645,-0.0277826984007274,-0.0226044707235433,-0.0187348886727674,-0.0156645266948692,-0.0131448531252965,-0.0110335413628179,-0.009240473966587,-0.00770449004664642,-0.00638190814597106,-0.0052402846588897,-0.00425476290460447,-0.00340581238338966,-0.00267776318800128,-0.00205781934513383,-0.00153537322232156,-0.00110151612915765,-0.000748680765638943,-0.000470374663143924,-0.00026097789914703,-0.000115587151949259,-0.00002989377901641,-8.72858531009157e-8,-0.0000227780223550633,-0.0000949346337303369,-0.000213832970792471,-0.000377013998810294,-0.000582248844140487,-0.000827509555454298,-0.00111094447951543,-0.00143085739290838,-0.00178568971351567,-0.00217400525468081,-0.00259447709217331,-0.00304587619731944,-0.00352706155488802,-0.00403697153578753,-0.00457461633555767,-0.00513907132239222,-0.00572947116480804,-0.00634500463047072,-0.00698490996510381,-0.00764847077469666,-0.00833501234599454,-0.00904389834998442,-0.00977452788119992,-0.0105263327924348,-0.0112987752901267,-0.0120913457604632,-0.0129035608003144,-0.013734961430521,-0.0145851114720167,-0.0154535960677584,-0.0163400203356049,-0.0172440081391406,-0.0181652009650591,-0.0191032568971202,-0.0200578496779252,-0.0210286678508389,-0.0220154139753395,-0.0230178039099321,-0.0240355661575354,-0.0250684412689434,-0.0261161813006158,-0.027178549323653,-0.0282553189813901,-0.0293462740936032,-0.0304512083058999,-0.031569924783425,-0.0327022359486508,-0.0338479632636685,-0.0350069370581713,-0.0361789964051719,-0.0373639890475295,-0.0385617713796036,-0.0397722084898824,-0.0409951742723652,-0.0422305516169427,-0.0434782326922334,-0.0447381193385715,-0.046010123594531,-0.047294168388124,-0.0485901884345518,-0.0498981313975412,-0.0512179593930617,-0.0525496509461844,-0.053893203559828,-0.0552486371281228,-0.0566159985445773,-0.0579953680480879,-0.059386868179189,-0.0607906768078774,-0.0622070468071568,-0.0636363371954447,-0.0650790655157271,-0.0665360033461895,-0.0680083713517701,-0.0694983126247126,-0.0710104549840447,-0.0725672172366987
-0.189154319102489,-0.0935803817188751,-0.0729187232860592,-0.0593735793964623,-0.0492429994164415,-0.0411993511496072,-0.0345945142196322,-0.0290571444838666,-0.0243520189494094,-0.0203194391053276,-0.0168453109330861,-0.0138448686785182,-0.0112531517738717,-0.00901910650961113,-0.0071017614555523,-0.0054676521791015,-0.0040890314461326,-0.00294259138425512,-0.00200852975276489,-0.00126985372978039,-0.000711851496637217,-0.00032168481703887,-0.0000880704640439101,-1.02795897127805e-6,-0.0000516775321963703,-0.000232076626953015,-0.000535086341417079,-0.000954261382422494,-0.00148375867079853,-0.00211826088081601,-0.00285291204004934,-0.00368326294650911,-0.00460522463625046,-0.00561502849809714,-0.00670919191206953,-0.00788448850561196,-0.00913792229207655,-0.0104667050904244,-0.0118682367320188,-0.013340087645981,-0.0148799834835294,-0.016485791497592,-0.0181555084395552,-0.0198872497723125,-0.0216792400295492,-0.0235298041766497,-0.0254373598497785,-0.0274004103673876,-0.0294175384232344,-0.0314874003825063,-0.0336087211132151,-0.0357802892940262,-0.0380009531473225,-0.0402696165528764,-0.0425852355031219,-0.0449468148658736,-0.0473534054245441,-0.0498041011695649,-0.052298036817903,-0.0548343855403689,-0.0574123568788838,-0.0600311948380684,-0.0626901761374848,-0.0653886086126401,-0.0681258297544887,-0.0709012053786769,-0.0737141284171952,-0.0765640178264703,-0.0794503176072791,-0.082372495933218,-0.0853300443858809,-0.0883224772964071,-0.0913493311947299,-0.0944101643697505,-0.0975045565458713,-0.100632108683975,-0.103792442918169,-0.106985202643667,-0.110210052776343,-0.113466680211164,-0.116754794515523,-0.120074128905269,-0.123424441567289,-0.126805517414678,-0.130217170391853,-0.133659246491883,-0.137131627714259,-0.140634237290325,-0.144167046656101,-0.147730084894397,-0.151323451765494,-0.15494733612421,-0.158602042734071,-0.162288032780375,-0.166005988012478,-0.16975691861797,-0.173542359866976,-0.177364773494712,-0.181228521023964,-0.18514307260419,-0.189154319102489
-0.0439015163483331,-0.0215853832894509,-0.0168111792792679,-0.0136855474677294,-0.01134964960079,-0.00949588929304579,-0.00797424389404977,-0.00669882051814508,-0.00561524553212367,-0.00468662375828921,-0.00388660920509365,-0.00319563723578142,-0.00259872089267466,-0.00208408647738145,-0.00164228911936737,-0.00126561741942999,-0.00094767979586885,-0.000683109230540047,-0.000467347576195931,-0.000296484767996152,-0.000167136814497981,-0.0000763517459537733,-0.0000215360880013726,-3.96651721246144e-7,-0.0000108939216272308,-0.000051204343031519,-0.000119689520877264,-0.000214870845562598,-0.000335408423316363,-0.000480083452689239,-0.000647783383663891,-0.000837489341555475,-0.00104826540788272,-0.00127924943434399,-0.00152964513065712,-0.00179871521724961,-0.00208577547312649,-0.00239018954026771,-0.00271136437061337,-0.00304874622142792,-0.00340181712075871,-0.00377009173759346,-0.00415311460183865,-0.00455045762784589,-0.00496171790232036,-0.00538651570330551,-0.0058244927218406,-0.0062753104619615,-0.00673864879813868,-0.00721420467214351,-0.00770169091377815,-0.00820083517196946,-0.00871137894451701,-0.00923307669629636,-0.00976569505702285,-0.0103090120908225,-0.010862816630826,-0.011426907672874,-0.0120010938231605,-0.0125851927953196,-0.0131790309530522,-0.0137824428949233,-0.0143952710784521,-0.015017365481069,-0.0156485832959334,-0.0162887886610223,-0.016937852420289,-0.0175956519161007,-0.0182620708125745,-0.0189369989498729,-0.019620332230006,-0.0203119725352222,-0.0210118276807061,-0.021719811404026,-0.0224358433946756,-0.0231598493681382,-0.0238917611902691,-0.0246315170595279,-0.025379061756815,-0.0261343469755956,-0.0268973317488532,-0.0276679829946172,-0.0284462762089224,-0.029232196344902,-0.0300257389306509,-0.0308269114985054,-0.0316357354278041,-0.0324522483473937,-0.0332765073123275,-0.0341085930775155,-0.0349486159690626,-0.0357967241581486,-0.0366531156865298,-0.037518056621862,-0.0383919098026786,-0.0392751832141131,-0.0401686182834716,-0.0410733704413336,-0.0419914481135082,-0.042927165672261,-0.0439015163483331
-0.221303645505829,-0.105097297900269,-0.0811394720002871,-0.0655654117214209,-0.0539902937049229,-0.0448495433343549,-0.0373819622568087,-0.0311525537518696,-0.0258863614999747,-0.0213970481018004,-0.0175516967630208,-0.0142516945703858,-0.0114215632577082,-0.00900204999849152,-0.00694565244397527,-0.00521360862725406,-0.00377380696512564,-0.00259929540902148,-0.00166719295934992,-0.000957878686844715,-0.000454376655977917,-0.000141882009467187,-7.39064007193591e-6,-0.0000394061264232803,-0.000227705150334545,-0.000563147770332284,-0.00103752251820599,-0.00164341882902175,-0.00237412114368762,-0.00322352035602558,-0.00418603926028394,-0.00525656938995267,-0.00643041719370463,-0.00770325791751381,-0.00907109588787969,-0.0105302301441603,-0.0120772245661767,-0.0137088817996314,-0.0154222204061419,-0.0172144547641448,-0.0190829773269803,-0.0210253429093727,-0.023039254726363,-0.0251225519520664,-0.0272731986012871,-0.0294892735665415,-0.031768961667567,-0.0341105455908837,-0.0365123986141707,-0.0389729780246746,-0.0414908191531111,-0.0440645299548971,-0.0466927860793968,-0.0493743263754249,-0.0521079487877284,-0.0548925066047614,-0.0577269050228802,-0.0606100979962761,-0.0635410853455929,-0.0665189101013657,-0.0695426560611978,-0.0726114455420592,-0.0757244373112645,-0.078880824681635,-0.0820798337581046,-0.0853207218245993,-0.0886027758614972,-0.0919253111853109,-0.0952876702035342,-0.0986892212788167,-0.102129357697874,-0.105607496741776,-0.109123078855561,-0.112675566916555,-0.11626444560234,-0.119889220861121,-0.123549419489458,-0.127244588824884,-0.130974296564286,-0.1347381307231,-0.138535699755842,-0.142366632865789,-0.14623058054147,-0.15012721537121,-0.154056233206047,-0.158017354768734,-0.162010327846598,-0.166034930266176,-0.17009097394014,-0.174178310423842,-0.178296838659789,-0.182446515999408,-0.186627374325971,-0.190839544489131,-0.195083295061039,-0.199359097572346,-0.203667745445757,-0.208010596640062,-0.212390161410812,-0.216812036388851,-0.221303645505829
-0.426745207669508,-0.215830423047735,-0.169038468537028,-0.138218302799004,-0.115086821399726,-0.0966650235780392,-0.0814958674374323,-0.0687433190667301,-0.0578771759969934,-0.0485371098332232,-0.0404654656403913,-0.0334706724226501,-0.0274058180340282,-0.0221553697591568,-0.0176265582516517,-0.013743572555738,-0.0104435235544684,-0.00767356063688052,-0.00538876385083031,-0.00355057156717375,-0.00212558662077234,-0.00108465546939551,-0.00040214790698645,-0.0000553865139372167,-0.0000241895497679057,-0.000290500935355764,-0.000838087902529816,-0.00165229180082749,-0.00271982108528146,-0.00402857808712098,-0.00556751307381442,-0.00732650052848527,-0.00929623365436494,-0.0114681339309146,-0.013834273180704,-0.0163873060976467,-0.0191204115722727,-0.0220272414537899,-0.0251018756304489,-0.0283387825033157,-0.0317327840845159,-0.0352790250774748,-0.0389729453997341,-0.0428102556934384,-0.0467869154382026,-0.0508991133387151,-0.0551432497073905,-0.0595159206024654,-0.064013903515564,-0.0686341444311036,-0.0733737461039217,-0.0782299574218601,-0.0832001637374555,-0.0882818780677654,-0.0934727330741513,-0.098770473744911,-0.104172950713225,-0.109678114151219,-0.115284008188285,-0.120988765808198,-0.126790604185312,-0.132687820425192,-0.138678787679653,-0.144761951610368,-0.150935827179096,-0.157198995746227,-0.163550102462859,-0.169987853945025,-0.176511016222189,-0.183118412955667,-0.189808923926464,-0.196581483796175,-0.203435081149309,-0.210368757830854,-0.217381608599363,-0.224472781123693,-0.231641476361227,-0.238886949367686,-0.246208510604281,-0.253605527828382,-0.261077428680891,-0.268623704119677,-0.276243912897855,-0.283937687354088,-0.291704740878627,-0.29954487755757,-0.307458004701409,-0.315444149269882,-0.323503479676647,-0.331636335206007,-0.339843266503335,-0.348125092700496,-0.356482984492371,-0.364918589575962,-0.373434231204459,-0.382033242142588,-0.390720573654951,-0.399504039328374,-0.408397334081668,-0.417430001735264,-0.426745207669508
-0.21561512781247,-0.105617163700297,-0.0820731059286923,-0.066670217901069,-0.0551691919952336,-0.0460511714308931,-0.0385751569089032,-0.0323167903405283,-0.0270073686931458,-0.0224645191087749,-0.0185579816856067,-0.0151910012861951,-0.0122894429321674,-0.00979505175753581,-0.00766108355519091,-0.00584936315593088,-0.00432824037532931,-0.0030711308784741,-0.00205545012564734,-0.00126181860004815,-0.000673458660605197,-0.000275729553868898,-0.0000557638657092685,-2.17967457105672e-6,-0.000104850031903414,-0.000354716434170621,-0.000743636462060548,-0.00126425824998555,-0.00190991623800052,-0.00267454396280398,-0.00355260060792251,-0.0045390087530599,-0.00562910130634364,-0.00681857601808633,-0.00810345629419351,-0.00948005727558465,-0.0109449563444319,-0.0124949673714956,-0.0141271181408358,-0.0158386304858411,-0.0176269027491749,-0.0194894942429858,-0.021424111437695,-0.023428595650235,-0.0255009120376964,-0.0276391397313591,-0.0298414629702214,-0.0321061631133028,-0.0344316114269123,-0.0368162625573039,-0.0392586486111999,-0.0417573737768751,-0.0443111094271961,-0.0469185896534646,-0.0495786071852893,-0.0522900096572023,-0.0550516961874884,-0.0578626142388017,-0.0607217567337193,-0.0636281594015041,-0.0665808983350737,-0.0695790877395872,-0.0726218778561746,-0.0757084530462266,-0.0788380300233492,-0.0820098562216024,-0.0852232082900271,-0.0884773907047369,-0.0917717344910274,-0.095105596049083,-0.0984783560779519,-0.101889418593531,-0.105338210037407,-0.108824178474568,-0.112346792879236,-0.115905542509519,-0.119499936373206,-0.123129502789008,-0.126793789049978,-0.130492361198893,-0.134224803929376,-0.137990720631741,-0.141789733609605,-0.145621484503029,-0.149485634967517,-0.153381867677693,-0.157309887752954,-0.161269424745109,-0.165260235393694,-0.169282107458894,-0.173334865112825,-0.177418376661465,-0.181532565890169,-0.185677429308402,-0.18985306355292,-0.194059711563729,-0.19829784681115,-0.202568345145803,-0.206872900962098,-0.211215395761461,-0.21561512781247
-0.35013971293308,-0.171544113720213,-0.133355930680701,-0.108371992392407,-0.0897150403301188,-0.0749215474849639,-0.0627898062665438,-0.0526316981472366,-0.044011552419561,-0.0366337010907138,-0.0302869823876109,-0.0248145622454022,-0.0200962828098807,-0.0160377327215927,-0.012563161923399,-0.0096107119614075,-0.00712910179694326,-0.00507526209384213,-0.00341260688349387,-0.00210974509593576,-0.00113950278783848,-0.000478169371339154,-0.000104908304630502,-1.29051179031947e-6,-0.000150920740118465,-0.00053913523360638,-0.00115275479441523,-0.00197988133747562,-0.00300972894399121,-0.00423248253474506,-0.00563917884610943,-0.00722160555878149,-0.00897221531081582,-0.0108840519991336,-0.0129506872916678,-0.0151661656747378,-0.0175249566754432,-0.0200219131476643,-0.022652234708032,-0.0254114355665339,-0.028295316123945,-0.031299937811602,-0.0344216007332683,-0.0376568237378621,-0.0410023266086522,-0.0444550141016081,-0.0480119616047011,-0.0516704022226595,-0.0554277151190951,-0.0592814149710219,-0.0632291424103286,-0.0672686553433481,-0.0713978210538033,-0.0756146090065031,-0.0799170842795347,-0.0843034015616433,-0.0887717996592244,-0.0933205964640668,-0.0979481843388353,-0.102653025882415,-0.107433650041736,-0.112288648540695,-0.117216672600361,-0.122216429927804,-0.127286681953823,-0.132426241302482,-0.137633969477825,-0.142908774755478,-0.148249610269123,-0.153655472284006,-0.159125398651967,-0.164658467444784,-0.170253795765212,-0.17591053873793,-0.181627888685835,-0.187405074500978,-0.193241361224039,-0.19913604985199,-0.205088477400806,-0.211098017259421,-0.217164079883359,-0.223286113892793,-0.229463607661952,-0.235696091517465,-0.241983140706342,-0.248324379356232,-0.254719485741349,-0.261168199303725,-0.267670330089242,-0.274225771590917,-0.280834518538269,-0.287496692104193,-0.294212576667349,-0.300982675415119,-0.307807798427882,-0.314689210848144,-0.321628902950131,-0.328630141191105,-0.335698803608423,-0.342847777713402,-0.35013971293308
-0.0474513188892388,-0.0241712578492785,-0.0189519050945979,-0.0155086159945422,-0.0129216304580876,-0.010859729902454,-0.00916076954050937,-0.00773164734214093,-0.00651328446418664,-0.00546551008910923,-0.00455958672006695,-0.0037741386337351,-0.00309276689211213,-0.00250257061779036,-0.00199318726440789,-0.00155614582852825,-0.00118441698211513,-0.00087209165152391,-0.000614145990510018,-0.000406266025414492,-0.000244714482659392,-0.000126228050699728,-0.0000479370026804649,-7.30151683758784e-6,-2.06064939756168e-6,-0.0000301910223010626,-0.0000898730603660081,-0.000179463159879045,-0.000297470564534441,-0.000442538011993898,-0.00061342542668541,-0.000808996093200731,-0.00102820486458377,-0.00127008805138407,-0.00153375470787642,-0.00181837908667903,-0.00212319407599004,-0.00244748546754425,-0.00279058693041212,-0.00315187558733832,-0.00353076810774033,-0.00392671724559035,-0.0043392087619134,-0.00476775868107082,-0.00521191083775574,-0.00567123467808428,-0.00614532328349671,-0.00663379159067112,-0.00713627478440237,-0.00765242684355916,-0.00818191922291045,-0.00872443965589231,-0.00927969106530568,-0.00984739057061956,-0.0104272685819509,-0.0110190679720472,-0.0116225433186318,-0.0122374602104247,-0.0128635946109318,-0.013500732274816,-0.0141486682122833,-0.0148072061974668,-0.0154761583172813,-0.0161553445576753,-0.0168445924245981,-0.0175437365973798,-0.0182526186125684,-0.0189710865765941,-0.0196989949059648,-0.0204362040940025,-0.021182580503477,-0.0219379961848269,-0.0227023287200494,-0.0234754610927556,-0.0242572815853884,-0.0250476837051791,-0.0258465661411268,-0.026653832755173,-0.027469392611853,-0.0282931600521587,-0.0291250548192384,-0.0299650022461027,-0.0308129335189479,-0.0316687860344859,-0.0325325038763808,-0.0334040384455391,-0.0342833492931419,-0.0351704052265369,-0.0360651857908054,-0.0369676832807179,-0.0378779055229514,-0.0387958798138062,-0.0397216586574628,-0.0406553284404381,-0.0415970231688424,-0.0425469475722709,-0.043505419213562,-0.044472954414796,-0.0454504765213683,-0.0464400019997263,-0.0474513188892388
-0.0452391147563064,-0.0228071770543265,-0.0178371982549415,-0.0145657688084986,-0.0121120479529861,-0.0101592413492708,-0.00855239858368129,-0.00720260677192164,-0.00605347527027156,-0.00506667822271711,-0.00421480853037082,-0.00347748692719452,-0.00283908360870755,-0.00228730605923366,-0.00181228277798473,-0.00140594593726484,-0.00106160209833361,-0.000773625564238545,-0.000537234201407832,-0.000348322210849128,-0.000203333149557006,-0.0000991619872401373,-0.0000330784922630833,-2.66654256209087e-6,-5.77550169622576e-6,-0.0000404808574381299,-0.000105052057320476,-0.000197925997975856,-0.000317685000883916,-0.000463038381355974,-0.000632806920104034,-0.0008259096981591,-0.00104135287028639,-0.00127822003936395,-0.00153566396145566,-0.00181289936357731,-0.00210919669711851,-0.00242387668221511,-0.00275630552408224,-0.00310589070290801,-0.00347207725549437,-0.00385434448027833,-0.00425220300833229,-0.00466519219191475,-0.00509287776957135,-0.00553484977288243,-0.00599072064508166,-0.00646012354600523,-0.00694271082142273,-0.00743815261780345,-0.00794613562611257,-0.00846636194041139,-0.00899854801885747,-0.00954242373629444,-0.0100977315189561,-0.0106642255529932,-0.0112416710595198,-0.0118298436297647,-0.0124285286146608,-0.01303752056388,-0.0136566227099023,-0.0142856464932172,-0.0149244111252217,-0.0155727431857795,-0.0162304762527796,-0.0168974505613605,-0.0175735126907781,-0.0182585152771811,-0.0189523167508259,-0.019654781096532,-0.020365777636437,-0.0210851808343796,-0.0218128701215201,-0.0225487297431106,-0.0232926486266777,-0.0240445202722683,-0.0248042426658834,-0.0255717182178073,-0.0263468537282495,-0.0271295603836509,-0.0279197537882001,-0.0287173540367109,-0.0295222858371786,-0.0303344786943179,-0.0311538671695931,-0.0319803912392679,-0.032813996780831,-0.0336546362313904,-0.0345022694820101,-0.035356865104289,-0.0362184020585209,-0.0370868721232624,-0.0379622834478132,-0.0388446659343164,-0.039734079772382,-0.0406306298024031,-0.0415344916982766,-0.0424459653793172,-0.0433656043822563,-0.0442946415581505,-0.0452391147563064
-0.078469073497344,-0.0389517305009535,-0.0303615609297608,-0.0247259886343429,-0.0205092420329125,-0.0171601636454149,-0.01440956062886,-0.0121031381840749,-0.0101431285222384,-0.00846313575187962,-0.00701571213819285,-0.00576559816015432,-0.00468576653232367,-0.00375497153776339,-0.00295615970882745,-0.00227539949409628,-0.00170113727942423,-0.00122366614876479,-0.000834737652267048,-0.000527272295774095,-0.000295139781170795,-0.000132989547796614,-0.0000361182542227834,-3.6483325893677e-7,-0.0000220264317001284,-0.0000977903795604806,-0.000224678611261631,-0.000400001866588839,-0.000621321650466689,-0.000886418405583234,-0.00119326470269732,-0.001540002515662,-0.0019249238462471,-0.00234645411498402,-0.00280313785067987,-0.00329362630170471,-0.00381666666300395,-0.00437109266874858,-0.00495581634499476,-0.00556982075233248,-0.00621215357719196,-0.00688192145371169,-0.00757828491703272,-0.00830045390440803,-0.00904768373330067,-0.00981927149626238,-0.0106145528211515,-0.0114328989526447,-0.0122737141171466,-0.0131364331384076,-0.0140205192755651,-0.0149254622590421,-0.0158507765029337,-0.0167959994752219,-0.017760690209494,-0.018744427943863,-0.0197468108745054,-0.0207674550127572,-0.0218059931360167,-0.0228620738238422,-0.0239353605716546,-0.025025530975329,-0.0261322759807668,-0.0272552991932247,-0.0283943162418295,-0.0295490541952775,-0.0307192510252509,-0.0319046551145787,-0.0331050248076468,-0.0343201280010165,-0.035549741772671,-0.0367936520487737,-0.0380516533073206,-0.0393235483186025,-0.0406091479230006,-0.0419082708473375,-0.0432207435618424,-0.0445464001808101,-0.0458850824113167,-0.0472366395559918,-0.0486009285779879,-0.0499778142391405,-0.05136716932616,-0.0527688749850318,-0.0541828211912718,-0.0556089073944242,-0.057047043390905,-0.0584971505028805,-0.0599591631771872,-0.0614330311759011,-0.0629187226246742,-0.0644162283462168,-0.0659255681944311,-0.0674468006486327,-0.0689800380255365,-0.0705254720786951,-0.0720834206631168,-0.0736544229329218,-0.0752394699412461,-0.0768407635122988,-0.078469073497344
