"U_0pt00","U_0pt01","U_0pt02","U_0pt03","U_0pt04","U_0pt05","U_0pt06","U_0pt07","U_0pt08","U_0pt09","U_0pt10","U_0pt11","U_0pt12","U_0pt13","U_0pt14","U_0pt15","U_0pt16","U_0pt17","U_0pt18","U_0pt19","U_0pt20","U_0pt21","U_0pt22","U_0pt23","U_0pt24","U_0pt25","U_0pt26","U_0pt27","U_0pt28","U_0pt29","U_0pt30","U_0pt31","U_0pt32","U_0pt33","U_0pt34","U_0pt35","U_0pt36","U_0pt37","U_0pt38","U_0pt39","U_0pt40","U_0pt41","U_0pt42","U_0pt43","U_0pt44","U_0pt45","U_0pt46","U_0pt47","U_0pt48","U_0pt49","U_0pt50","U_0pt51","U_0pt52","U_0pt53","U_0pt54","U_0pt55","U_0pt56","U_0pt57","U_0pt58","U_0pt59","U_0pt60","U_0pt61","U_0pt62","U_0pt63","U_0pt64","U_0pt65","U_0pt66","U_0pt67","U_0pt68","U_0pt69","U_0pt70","U_0pt71","U_0pt72","U_0pt73","U_0pt74","U_0pt75","U_0pt76","U_0pt77","U_0pt78","U_0pt79","U_0pt80","U_0pt81","U_0pt82","U_0pt83","U_0pt84","U_0pt85","U_0pt86","U_0pt87","U_0pt88","U_0pt89","U_0pt90","U_0pt91","U_0pt92","U_0pt93","U_0pt94","U_0pt95","U_0pt96","U_0pt97","U_0pt98","U_0pt99","U_1pt00"
-0.276552622867528,-0.193352189362223,-0.166587610296049,-0.147454066040945,-0.132174606951759,-0.119330986474694,-0.108209780239837,-0.0983929992732577,-0.0896111569660827,-0.0816786295738225,-0.0744611908083819,-0.067858094262842,-0.0617914581797128,-0.0561996179013524,-0.0510327729413509,-0.0462500298866013,-0.0418173306614527,-0.0377059625074363,-0.0338914618537434,-0.0303527919348801,-0.0270717150365523,-0.0240323059222565,-0.0212205695127154,-0.0186241367874083,-0.0162320202262958,-0.0140344151651441,-0.0120225369783455,-0.0101884865233695,-0.00852513810185185,-0.00702604552588149,-0.00568536286702725,-0.00449777720760025,-0.00345845127626787,-0.00256297428103891,-0.0018073195857522,-0.00118780813594799,-0.000701076744241025,-0.000344050507117943,-0.000113918754257814,-8.11403528855337e-6,-0.0000242937329366644,-0.000160323959995878,-0.000414265453677842,-0.000784361227294639,-0.00126902577772925,-0.00186683567942869,-0.00257652142285569,-0.00339696037848158,-0.00432717078727252,-0.00536630669586202,-0.00651365376975011,-0.00776862593135896,-0.00913076278199076,-0.0105997277780119,-0.0121753071422106,-0.0138574095015105,-0.0156460662523461,-0.017541432665265,-0.0195437897509556,-0.0216535469212451,-0.0238712454909293,-0.02619756307997,-0.0286333189910581,-0.0311794806552599,-0.0338371712591063,-0.0366076786907501,-0.0394924659717268,-0.042493183375544,-0.0456116824763739,-0.048850032422517,-0.0522105387925651,-0.0556957654707453,-0.0593085600762238,-0.0630520836050956,-0.066929845101489,-0.0709457423765503,-0.0751041100561181,-0.0794097765805977,-0.0838681322335253,-0.088485210880738,-0.0932677889213058,-0.0982235060746046,-0.103361014190371,-0.108690162476632,-0.114222230715542,-0.119970226691786,-0.125949271029434,-0.132177103327787,-0.138674760344363,-0.145467504377855,-0.152586126162651,-0.160068827604826,-0.167964038969386,-0.176334816652116,-0.185266078910946,-0.194877338071325,-0.205347194294271,-0.216966734577836,-0.230280499848448,-0.246612442417538,-0.276552622867528
-0.101608583418212,-0.0822632287043237,-0.0730215971529681,-0.0658313453976879,-0.0597795173671174,-0.0544969836397269,-0.0497883066408736,-0.0455342696446229,-0.0416553712644474,-0.0380952198094939,-0.0348119573841695,-0.0317734116232481,-0.0289541616072432,-0.0263336649855826,-0.0238950100376105,-0.021624054205837,-0.0195088115097077,-0.0175390057974125,-0.0157057377718985,-0.014001232066541,-0.0124186418978391,-0.0109518959441033,-0.0095955767313618,-0.00834482289457261,-0.00719524978420294,-0.00614288434751176,-0.00518411124496598,-0.00431562790233686,-0.00353440673812466,-0.00283766320384915,-0.00222282857201916,-0.00168752663124261,-0.00122955361944443,-0.000846860858409348,-0.000537539655730335,-0.000299808120964196,-0.000131999606617361,-0.0000325525354150091,-1.41611344872672e-9,-0.000032968883034723,-0.000130158621269416,-0.000290349061369266,-0.000512387745327247,-0.00079518628050268,-0.00113771581049726,-0.00153900294229037,-0.00199812607759187,-0.00251421210366964,-0.00308643340507619,-0.00371400516297604,-0.00439618291326682,-0.00513226033857461,-0.00592156727255211,-0.00676346789784099,-0.00765735912162402,-0.00860266911496521,-0.00959885600417065,-0.010645406704247,-0.0117418358862091,-0.0128876850715705,-0.0140825218488319,-0.0153259392082301,-0.0166175549924357,-0.0179570114623382,-0.0193439749785578,-0.0207781358009422,-0.0222592080100485,-0.0237869295565721,-0.0253610624469306,-0.0269813930757907,-0.0286477327194078,-0.0303599182073226,-0.0321178127944329,-0.033921307260968,-0.0357703212747504,-0.0376648050587655,-0.0396047414180504,-0.0415901481940676,-0.0436210812331356,-0.0456976379797416,-0.0478199618378762,-0.0499882474871869,-0.0522027474005339,-0.0544637798927019,-0.056771739147669,-0.0591271078413486,-0.0615304732260739,-0.0639825479184074,-0.066484197211606,-0.0690364756564472,-0.0716406771721633,-0.0742984055479684,-0.077011676855392,-0.0797830741233,-0.0826159925387013,-0.0855150529769168,-0.0884868591051425,-0.0915415522819476,-0.0946966150023174,-0.0979895804887128,-0.101608583418212
-0.117148367595976,-0.0929917266632154,-0.0820028566292348,-0.0735608268006825,-0.0665147021291661,-0.0604036052716008,-0.0549851286080539,-0.0501121607225443,-0.0456870130510383,-0.0416406443166537,-0.037921970031276,-0.0344918376070025,-0.0313193901890197,-0.0283797513131637,-0.0256524855652116,-0.0231205381131483,-0.0207694820239857,-0.0185869702999484,-0.0165623281290519,-0.0146862436341899,-0.0129505293650136,-0.0113479355995967,-0.00987200225372553,-0.0085169400096341,-0.00727753386985208,-0.00614906414054639,-0.0051272411181631,-0.00420815066346991,-0.00338820850944344,-0.00266412163780783,-0.00203285542358644,-0.00149160552224092,-0.00103777368392199,-0.000668946841085427,-0.000382878941451503,-0.000177475096827306,-0.0000507776962015427,-9.54193489555166e-7,-0.0000262863300133365,-0.00012516059189549,-0.000296059735098941,-0.000537555237446252,-0.000848300558798032,-0.00122702510860462,-0.00167252883504099,-0.00218367736241754,-0.00275939761405808,-0.00339867386666159,-0.00410054418964378,-0.0048640972293359,-0.00568846930334432,-0.00657284177508588,-0.00751643868254215,-0.00851852459883573,-0.00957840270530763,-0.0106954130605352,-0.0118689310511708,-0.0130983660127066,-0.0143831600103004,-0.0157227867716836,-0.0171167507659855,-0.0185645864240243,-0.0200658574973551,-0.021620156555102,-0.0232271046194241,-0.0248863509423987,-0.0265975729292309,-0.0283604762150642,-0.0301747949053583,-0.0320402919929602,-0.0339567599686905,-0.035924021646728,-0.0379419312314987,-0.0400103756594343,-0.0421292762572877,-0.0442985907691539,-0.0465183158176738,-0.0487884898820592,-0.0511091968979143,-0.0534805706132527,-0.0559027998743314,-0.0583761350679262,-0.0609008960192767,-0.0634774817459607,-0.0661063826108919,-0.0687881956236823,-0.0715236439427457,-0.0743136020869618,-0.0771591290710012,-0.0800615128008899,-0.0830223309144613,-0.0860435364162466,-0.0891275821336598,-0.0922776087865105,-0.0954977433051733,-0.0987936022804088,-0.102173214400526,-0.105648916611387,-0.109241997503404,-0.112998237808985,-0.117148367595976
-0.223271610937494,-0.176488000162724,-0.155648760217285,-0.139709040021333,-0.126436811346918,-0.114942616672149,-0.104760255287971,-0.095607602333679,-0.0872977730947917,-0.0796989772062517,-0.0727138984593653,-0.0662680922899213,-0.0603029933370084,-0.0547714687335802,-0.0496348652551388,-0.0448609773189885,-0.0404226062361019,-0.036296512354052,-0.0324626360548574,-0.0289035074603277,-0.0256037915612088,-0.022549932451249,-0.0197298713589702,-0.0171328204933521,-0.0147490796969854,-0.0125698863496628,-0.0105872913982787,-0.00879405613256168,-0.00718356559410616,-0.00574975544063383,-0.00448704978454995,-0.00339030805094698,-0.00245477930129123,-0.00167606277791288,-0.00105007366438903,-0.0005730132449564,-0.000241342794629507,-0.0000517606498997569,-1.18200460264006e-6,-0.0000867210519857053,-0.00030567515601776,-0.000655510785692925,-0.00113385098767438,-0.00173846420705592,-0.00246725429455474,-0.0033182515623249,-0.00428960477061158,-0.00537957394436606,-0.00658652393330428,-0.00790891864114807,-0.00934531586031118,-0.0108943626574254,-0.0125547912630228,-0.0143254154257113,-0.0162051271973764,-0.0181928941215477,-0.0202877568021649,-0.022488826834719,-0.024795285086207,-0.0272063803146549,-0.029721428123215,-0.0323398102481436,-0.0350609741844192,-0.037884433157467,-0.0408097664546123,-0.04383662013555,-0.0469647081475811,-0.0501938138787883,-0.0535237921910214,-0.0569545719848873,-0.0604861593613677,-0.0641186414597813,-0.0678521910703943,-0.0716870721430376,-0.0756236463420279,-0.079662380834329,-0.0838038575447574,-0.0880487841726091,-0.0923980073431839,-0.0968525283721835,-0.101413522260651,-0.106082360727321,-0.110860640345115,-0.115750217210957,-0.120753250092175,-0.125872254735636,-0.13111017312168,-0.136470463099489,-0.141957216404695,-0.147575317153596,-0.153330659670358,-0.159230456125548,-0.16528368539341,-0.171501774390891,-0.177899684417799,-0.184497755467511,-0.191325109229328,-0.198426704010816,-0.205880799939632,-0.213858335117128,-0.223271610937494
-0.0632736643413574,-0.0493532853722818,-0.0433019197979341,-0.038704158933153,-0.0348939204612874,-0.0316068657310021,-0.0287048198979873,-0.0261043348214085,-0.0237502215090366,-0.0216036118517746,-0.0196358362672099,-0.0178249833277575,-0.0161538287361407,-0.0146085196264669,-0.0131777016586512,-0.011851918818812,-0.0106231881753058,-0.00948469080797709,-0.00843054218049177,-0.00745561823801721,-0.00655542147202182,-0.00572597621739757,-0.00496374570588887,-0.00426556556593338,-0.00362858993047999,-0.00305024733359316,-0.00252820429523437,-0.00206033500837322,-0.00164469591675909,-0.00127950424733991,-0.000963119766879572,-0.000694029187401579,-0.000470832763272755,-0.000292232713718699,-0.000157023175232585,-0.0000640814436898562,-0.0000123603096864322,-8.81325392665389e-7,-0.0000287288690667964,-0.000095044895830787,-0.0001990242815475,-0.000339910681512068,-0.000516992837896968,-0.000729601279973568,-0.000977105369506459,-0.00125891065070927,-0.00157445646999776,-0.00192321383572591,-0.00230468349226287,-0.00271839418634823,-0.00316390110668685,-0.00364078448041627,-0.00414864831231831,-0.00468711925467047,-0.00525584559738013,-0.00585449636960589,-0.00648276054549046,-0.00714034634790184,-0.00782698064528642,-0.00854240843785425,-0.00928639243040785,-0.0100587126901928,-0.0108591663892335,-0.0116875676317256,-0.0125437473682561,-0.0134275533999026,-0.0143388504766937,-0.0152775204965419,-0.0162434628126373,-0.017236594659495,-0.0182568517104722,-0.0193041887827602,-0.0203785807097335,-0.0214800234053393,-0.0226085351512293,-0.023764158144907,-0.0249469603568556,-0.026157037757096,-0.0273945169879031,-0.0286595585808983,-0.029952360845392,-0.0312731645936516,-0.0326222589219597,-0.0339999883404449,-0.0354067616496407,-0.0368430631132379,-0.0383094666996705,-0.0398066545016548,-0.0413354409634353,-0.0428968053752868,-0.0444919364631463,-0.0461222952484646,-0.0477897065715296,-0.0494964976857818,-0.0512457186280932,-0.053041515157633,-0.0548898142995396,-0.0567997391077957,-0.0587870906060014,-0.0608860852627678,-0.0632736643413574
-0.168317709090075,-0.115559615051389,-0.0986522008424389,-0.0866057328318336,-0.0770190219964028,-0.0689896508152212,-0.0620632964955102,-0.0559735539207179,-0.0505485213246943,-0.0456696904017512,-0.0412512915029282,-0.0372288903511366,-0.03355262985733,-0.0301829965032119,-0.0270880471414556,-0.0242415244119367,-0.0216215359472666,-0.0192096041056755,-0.0169899666601599,-0.0149490519426277,-0.0130750780531407,-0.0113577420867302,-0.00978797584857882,-0.00835775146797035,-0.00705992500224628,-0.00588810934254602,-0.00483656998901449,-0.0039001388692872,-0.00307414253467309,-0.00235434191860273,-0.00173688147249218,-0.00121824596731845,-0.000795223608031859,-0.000464874382794855,-0.000224502781535629,-0.0000716341840153456,-3.9943479022142e-6,-0.0000194915305730126,-0.000116200860747151,-0.000292350642266959,-0.000546310325897026,-0.000876579928633325,-0.00128178071573559,-0.00176064699016643,-0.00231201885855492,-0.00293483586321053,-0.00362813138686435,-0.00439102775133571,-0.00522273194370437,-0.00612253191423306,-0.00708979339954763,-0.00812395723272219,-0.00922453710917948,-0.0103911177838657,-0.0116233536812099,-0.0129209679050397,-0.0142837516410721,-0.0157115639499493,-0.0172043319541818,-0.0187620514279283,-0.0203847878044391,-0.022072677622378,-0.0238259304392937,-0.0256448312484733,-0.0275297434445205,-0.029481112393605,-0.0314994696767985,-0.0335854380897739,-0.0357397375000134,-0.0379631916843741,-0.0402567362964483,-0.0426214281460018,-0.0450584560136993,-0.0475691532757471,-0.0501550126782362,-0.0528177036842747,-0.0555590929244912,-0.0583812684215758,-0.0612865684439993,-0.0642776160897076,-0.0673573610317326,-0.0705291303098883,-0.0737966906792115,-0.0771643259073841,-0.0806369336753909,-0.0842201485770154,-0.08792050045689,-0.0917456215144259,-0.0957045221647888,-0.0998079662547595,-0.104068993981564,-0.108503671801224,-0.11313220518558,-0.117980659642068,-0.12308376297513,-0.12848977790484,-0.134269746460258,-0.140537307836798,-0.147499899454059,-0.155643881537315,-0.168317709090075
-0.0303059138365113,-0.0214741151877624,-0.0184331834022932,-0.0162367209639208,-0.0144738645280878,-0.0129883613079067,-0.0117009010837059,-0.010564679266763,-0.00954933264125624,-0.00863383177335059,-0.00780289397141121,-0.00704499527921532,-0.00635118826343639,-0.00571435915713692,-0.00512873990090978,-0.00458957569069962,-0.00409289142768565,-0.00363532331378125,-0.00321399466253669,-0.00282642250737919,-0.00247044615223713,-0.00214417167076641,-0.0018459282050548,-0.00157423313371374,-0.00132776400279189,-0.00110533568037341,-0.000905881593775248,-0.000728438192010072,-0.000572131981518731,-0.000436168633750955,-0.000319823775005612,-0.00022243515293785,-0.000143395937927004,-0.0000821489664013519,-0.0000381817710619625,-0.0000110222724902798,-2.35029880557569e-7,-5.41796706809983e-6,-0.0000261995047524666,-0.0000622360416575596,-0.000113209736959718,-0.000178826554118161,-0.00025881453265153,-0.000352922259678312,-0.000460917517415393,-0.000582586086492198,-0.000717730687993412,-0.000866170049754089,-0.00102773808462264,-0.00120228317031756,-0.00138966752213054,-0.00158976665117494,-0.0018024689021352,-0.00202767506561707,-0.0022652980612301,-0.00251526268849334,-0.00277750544355804,-0.0030519744006271,-0.00333862915780558,-0.00363744084800444,-0.00394839221644128,-0.00427147776723857,-0.00460670398271101,-0.00495408962008193,-0.00531366609174566,-0.00568547793670482,-0.0060695833926302,-0.00646605508012377,-0.00687498081330817,-0.00729646455396216,-0.00773062753017767,-0.00817760954515517,-0.00863757050751252,-0.0091106922216998,-0.00959718048623048,-0.0100972675590852,-0.0106112150646129,-0.0111393174357405,-0.011681906010891,-0.0122393539390181,-0.0128120820918901,-0.0134005662450589,-0.0140053458750526,-0.0146270350411596,-0.0152663359927041,-0.0159240563937154,-0.0166011314298564,-0.0172986526298383,-0.0180179061198733,-0.0187604244568629,-0.0195280585651814,-0.020323080431605,-0.0211483347302718,-0.0220074720350064,-0.0229053261992165,-0.0238485659279051,-0.0248469208092419,-0.0259157836784663,-0.0270828492900246,-0.028411680221601,-0.0303059138365113
-0.0508347711739949,-0.0422002355759967,-0.0377807100925115,-0.0342787132563027,-0.0312956563706936,-0.0286680538443874,-0.026308489755542,-0.0241632283966511,-0.0221962057818011,-0.0203817002001119,-0.0187005264761355,-0.0171378744416701,-0.0156819954632947,-0.0143233609591207,-0.0130540998378372,-0.0118676089750045,-0.0107582754457558,-0.00972127342477314,-0.00875241244013392,-0.00784802184328615,-0.00700486138525314,-0.00622005097834832,-0.00549101480136605,-0.0048154362941184,-0.00419122153400053,-0.0036164691457361,-0.00308944536150024,-0.00260856318367142,-0.00217236484688321,-0.00177950695673657,-0.00142874781767688,-0.00111893656485273,-0.000849003792953384,-0.000617953435392504,-0.000424855694230342,-0.000268840858148378,-0.00014909387503792,-0.0000648495690778184,-0.0000153884108964331,-3.27645579556446e-8,-0.000018143547418914,-0.00006911724896419,-0.000152383263037903,-0.000267401494713715,-0.000413660208765876,-0.000590674091451415,-0.000797982501318462,-0.00103514788811854,-0.00130175436176705,-0.00159740639572314,-0.00192172765125065,-0.00227435991079661,-0.00265496211030003,-0.00306320946156147,-0.0034987926570087,-0.00396141715022313,-0.00445080250651797,-0.00496668181870685,-0.00550880118393837,-0.00607691923819753,-0.00667080674571507,-0.00729024624115815,-0.00793503172309484,-0.00860496839784064,-0.00929987247340369,-0.0100195710039375,-0.010763901785793,-0.0115327133070562,-0.0123258647533471,-0.0131432260736559,-0.013984678111207,-0.0148501128057352,-0.0157394334752983,-0.0166525551878435,-0.0175894052353589,-0.0185499237267267,-0.0195340643195576,-0.0205417951166457,-0.0215730997596365,-0.022627978761662,-0.0237064511328693,-0.0248085563692244,-0.02593435689746,-0.0270839411003062,-0.0282574270903306,-0.0294549674643115,-0.0306767553635527,-0.0319230323060884,-0.0331940984736094,-0.0344903264806226,-0.035812180219948,-0.0371602413474031,-0.0385352477031842,-0.0399381512503045,-0.0413702097573314,-0.0428331410991053,-0.0443294050660287,-0.0458627804312781,-0.0474397712771789,-0.04907428158893,-0.0508347711739949
-0.0421685542455519,-0.0347183371852924,-0.0310904241906194,-0.028247671107157,-0.0258411856692495,-0.0237296251479264,-0.0218380842599429,-0.0201208517656467,-0.0185474422426768,-0.0170962358393532,-0.0157511910693493,-0.0144999853433972,-0.0133328891313625,-0.012242047058567,-0.0112209987480091,-0.0102643479801036,-0.00936752739561575,-0.00852662687919947,-0.00773826564116442,-0.00699949505046304,-0.00630772358961962,-0.00566065803581184,-0.00505625675072929,-0.00449269214717307,-0.00396832020765658,-0.00348165549081769,-0.00303135045757541,-0.00261617823335958,-0.00223501812988269,-0.00188684340287004,-0.00157071083640914,-0.00128575183093904,-0.0010311647378507,-0.000806208234493289,-0.000610195572974037,-0.000442489567150872,-0.00030249820680206,-0.000189670807493103,-0.000103494620397271,-0.000043491838978893,-9.21694979383325e-6,-2.5438308171033e-7,-0.0000162164257830888,-0.0000567413653604909,-0.000121491837594689,-0.000210153355535869,-0.000322433000177647,-0.00045805825627232,-0.000616775979177531,-0.000798351480697734,-0.00100256772374108,-0.00122922461717656,-0.00147813840371414,-0.00174914113487712,-0.00204208022829011,-0.00235681810356669,-0.00269323189407089,-0.00305121323279067,-0.00343066811149595,-0.00383151681329563,-0.00425369391969266,-0.00469714839424129,-0.00516184374604478,-0.0056477582775234,-0.0061548854222786,-0.00668323418042727,-0.00723282966060546,-0.00780371373998068,-0.00839594585614623,-0.00900960394783712,-0.00964478556512494,-0.0103016091743019,-0.0109802156883108,-0.0116807702606203,-0.0124034643893149,-0.0131485183894495,-0.013916184306184,-0.014706749359969,-0.0155205400396039,-0.0163579269914864,-0.0172193308969455,-0.0181052295886546,-0.0190161667385252,-0.0199527625632491,-0.0209157271554242,-0.021905877282537,-0.0229241578426587,-0.0239716696904302,-0.0250497063624446,-0.0261598035371469,-0.0273038072290164,-0.0284839704506772,-0.0297030948274359,-0.0309647465609231,-0.0322736025925582,-0.0336360418925606,-0.0350612443315563,-0.0365634887765323,-0.038167906498737,-0.0399303628277984,-0.0421685542455519
-0.0771087970274791,-0.0626913839697808,-0.0556782969715814,-0.0501992472589063,-0.045576540082499,-0.0415350063638313,-0.0379285155914581,-0.0346677098606695,-0.0316928738855191,-0.0289615708055999,-0.0264422466282705,-0.0241106095950504,-0.0219474363407886,-0.0199371699652775,-0.0180669849411391,-0.0163261409959313,-0.0147055232516459,-0.0131973065758958,-0.0117947052147366,-0.0104917824716578,-0.00928330360531648,-0.00816462044373767,-0.0071315796785929,-0.00618044911417082,-0.00530785772015196,-0.00451074643102989,-0.00378632740815477,-0.00313205003567318,-0.0025455723262503,-0.0020247367112699,-0.00156754941352122,-0.00117216276923837,-0.000836859995299366,-0.000560041996870431,-0.000340215888181894,-0.000175984959881359,-0.0000660398744599666,-9.15090954345388e-6,-4.16109956513644e-6,-0.0000499801511635312,-0.000145579027800991,-0.000289985115606628,-0.000482277895975991,-0.000721585061682073,-0.00100707902253194,-0.00133797375437961,-0.00171352195180885,-0.00213301245027964,-0.00259576788817351,-0.00310114258311323,-0.00364852060028931,-0.00423731399342253,-0.0048669612014578,-0.00553692558624563,-0.00624669409833112,-0.006995776059605,-0.00778370205300749,-0.00861002291075852,-0.00947430879372002,-0.0103761483555306,-0.0113151479860977,-0.0122909311298959,-0.0133031376753526,-0.0143514234123853,-0.0154354595559341,-0.0165549323341071,-0.0177095426403644,-0.0188990057500109,-0.020123051102194,-0.0213814221496226,-0.0226738762794012,-0.0240001848097287,-0.0253601330688248,-0.0267535205644098,-0.0281801612544453,-0.0296398839328395,-0.0311325327475697,-0.0326579678734994,-0.0342160663683891,-0.0358067232487659,-0.0374298528331743,-0.0390853904149372,-0.0407732943465289,-0.0424935486453737,-0.0442461662699992,-0.0460311932717416,-0.0478487141097759,-0.0496988585413077,-0.051581810689992,-0.0534978211992176,-0.055447223875366,-0.057430459077326,-0.0594481076306344,-0.0615009419208342,-0.0635900066344781,-0.0657167544026599,-0.0678832929754436,-0.0700928899152175,-0.0723511979040105,-0.0746703050605995,-0.0771087970274791
